alert_id,alert_type,severity,risk_score,mmsi,timestamp,lat,lon,vessel_name,vessel_type,title,explanation,recommended_action,evidence
BKB-0001,IMPOSSIBLE_SPEED,HIGH,98,503001004,2026-05-01T00:45:00+00:00,-11.8,143.6,SEA EAGLE,Cargo,Implied speed 442 kn — possible spoofing,"Successive AIS positions imply a physically impossible speed, strongly suggesting AIS position spoofing, a false-identity broadcast, or a track-stitching error merging two different vessels.","Inspect raw source rows. Compare against alternative AIS feeds, RF/SAR/patrol data. Do not assume identity continuity across this jump.",Implied speed 442.4 kn between 2026-05-01T00:30:00+00:00 and 2026-05-01T00:45:00+00:00.
BKB-0001,AIS_GAP,HIGH,95,503001003,2026-05-01T11:15:00+00:00,-10.54871,142.5759,NORTHERN PRIDE,Fishing,AIS gap of 10.0 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2026-05-01T01:15:00+00:00 → current point 2026-05-01T11:15:00+00:00 (10.0 h silence).
BKB-0004,AIS_GAP,HIGH,95,503001007,2026-05-01T18:00:00+00:00,-10.296,142.486,SMALL VESSEL,Fishing,AIS gap of 9.0 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2026-05-01T09:00:00+00:00 → current point 2026-05-01T18:00:00+00:00 (9.0 h silence).
BKB-0005,AIS_GAP,HIGH,95,503001007,2026-05-02T02:00:00+00:00,-10.272,142.502,SMALL VESSEL,Fishing,AIS gap of 8.0 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2026-05-01T18:00:00+00:00 → current point 2026-05-02T02:00:00+00:00 (8.0 h silence).
BKB-0003,AIS_GAP,HIGH,86,503001007,2026-05-01T09:00:00+00:00,-10.323,142.468,SMALL VESSEL,Fishing,AIS gap of 5.0 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2026-05-01T04:00:00+00:00 → current point 2026-05-01T09:00:00+00:00 (5.0 h silence).
BKB-0002,RENDEZVOUS_CANDIDATE,HIGH,85,503001005,2026-05-01T00:15:00+00:00,-10.612,142.225,TIMOR CHIEF,Fishing,Possible rendezvous with CAPE WESSEL,"Two vessels appeared within 1.04km of each other within the time window. Vessel-to-vessel transfers (catch, fuel, crew) are a known IUU evasion method.","Check vessel types, flag states, licensed activity, and AIS gap history for both parties.",503001005/503001006; separation 1.04km; time delta 45min.
BKB-0001,LOITERING,HIGH,84,503001002,2026-05-01T04:45:00+00:00,-10.81571,141.96959,MALITA SEA,Fishing,Loitering 4.8 h within 3.7 km,"The vessel remains inside a small geographic radius at low average speed for a sustained period. In northern Australian waters, this pattern is consistent with IUU fishing activity or sea-cucumber harvesting.","Check whether the area is consistent with a licensed fishing zone, anchorage, or known permitted activity. Cross-reference against AFMA authorisation records and VMS data if available.",Span 4.8 h; max radius from centroid 3.68 km; avg SOG 1.1 kn.
BKB-0001,RENDEZVOUS_CANDIDATE,MEDIUM,78,503001006,2026-05-01T00:00:00+00:00,-10.64,142.2,CAPE WESSEL,Fishing,Possible rendezvous with ARAFURA QUEEN,"Two vessels appeared within 1.30km of each other within the time window. Vessel-to-vessel transfers (catch, fuel, crew) are a known IUU evasion method.","Check vessel types, flag states, licensed activity, and AIS gap history for both parties.",503001006/503001001; separation 1.30km; time delta 30min.
BKB-0002,AIS_GAP,MEDIUM,78,503001007,2026-05-01T04:00:00+00:00,-10.338,142.458,SMALL VESSEL,Fishing,AIS gap of 4.0 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2026-05-01T00:00:00+00:00 → current point 2026-05-01T04:00:00+00:00 (4.0 h silence).
BKB-0001,SENSITIVE_ZONE,LOW,52,503001006,2026-05-01T02:45:00+00:00,-10.541,142.255,CAPE WESSEL,Fishing,Presence inside Torres Strait illustrative fisheries focus area,"The vessel is inside an illustrative monitoring zone. This is contextual enrichment, not an allegation of wrongdoing.",Use as a contextual feature alongside gap/loitering/rendezvous alerts rather than as a standalone escalation trigger.,Distance to zone centre 7.5 km; zone radius 80.0 km.
