alert_id,alert_type,severity,risk_score,mmsi,timestamp,lat,lon,vessel_name,vessel_type,title,explanation,recommended_action,evidence,month
BKB-0001,AIS_GAP,HIGH,95,1018019516,2022-12-30T07:57:47+00:00,-9.25695833333,143.824706667,,Unknown,AIS gap of 130.7 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-24T21:14:58+00:00 → current point 2022-12-30T07:57:47+00:00 (130.7 h silence).,2022-12
BKB-0002,AIS_GAP,HIGH,95,102406898,2022-12-08T10:54:53+00:00,-9.17663333333,143.634333333,,Unknown,AIS gap of 19.1 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-07T15:49:56+00:00 → current point 2022-12-08T10:54:53+00:00 (19.1 h silence).,2022-12
BKB-0003,AIS_GAP,HIGH,95,102406898,2022-12-16T05:09:53+00:00,-9.1886,143.5675,,Unknown,AIS gap of 186.2 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-08T10:54:53+00:00 → current point 2022-12-16T05:09:53+00:00 (186.2 h silence).,2022-12
BKB-0004,AIS_GAP,HIGH,95,1026813196,2022-12-23T03:14:42+00:00,-10.7911683333,141.238381667,,Unknown,AIS gap of 439.3 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-04T19:55:23+00:00 → current point 2022-12-23T03:14:42+00:00 (439.3 h silence).,2022-12
BKB-0005,AIS_GAP,HIGH,95,10387205043,2022-12-29T14:49:53+00:00,-11.2582933333,142.967348333,,Military,AIS gap of 242.6 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-19T12:14:48+00:00 → current point 2022-12-29T14:49:53+00:00 (242.6 h silence).,2022-12
BKB-0006,AIS_GAP,HIGH,95,1042896,2022-12-16T15:29:53+00:00,-11.4678833333,141.4754,,Cargo,AIS gap of 136.3 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-10T23:09:51+00:00 → current point 2022-12-16T15:29:53+00:00 (136.3 h silence).,2022-12
BKB-0007,AIS_GAP,HIGH,80,10437598419,2022-12-01T10:05:30+00:00,-10.5336716667,143.115728333,,Unknown,AIS gap of 8.3 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-01T01:47:59+00:00 → current point 2022-12-01T10:05:30+00:00 (8.3 h silence).,2022-12
BKB-0008,AIS_GAP,MEDIUM,66,10437598419,2022-12-03T05:45:20+00:00,-10.5904,142.246085,,Unknown,AIS gap of 6.6 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-02T23:09:32+00:00 → current point 2022-12-03T05:45:20+00:00 (6.6 h silence).,2022-12
BKB-0009,AIS_GAP,HIGH,95,1077088286,2022-12-31T08:22:46+00:00,-10.66327,141.137663333,,Cargo,AIS gap of 395.2 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-14T21:11:28+00:00 → current point 2022-12-31T08:22:46+00:00 (395.2 h silence).,2022-12
BKB-0010,AIS_GAP,HIGH,95,10970227654,2022-12-03T20:54:45+00:00,-9.60646166667,143.773471667,,Pleasure,AIS gap of 41.8 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-02T03:04:36+00:00 → current point 2022-12-03T20:54:45+00:00 (41.8 h silence).,2022-12
