alert_id,alert_type,severity,risk_score,mmsi,timestamp,lat,lon,vessel_name,vessel_type,title,explanation,recommended_action,evidence
BKB-0001,IMPOSSIBLE_SPEED,HIGH,98,51001002,2023-01-05T09:47:34.790248+00:00,-7.816588723489698,146.53583472430506,IDN FISHER 02,Fishing,Implied speed 835 kn — possible spoofing,"Successive AIS positions imply a physically impossible speed, strongly suggesting AIS position spoofing, a false-identity broadcast, or a track-stitching error merging two different vessels.","Inspect raw source rows. Compare against alternative AIS feeds, RF/SAR/patrol data. Do not assume identity continuity across this jump.",Implied speed 835.4 kn between 2023-01-05T09:27:34.790248+00:00 and 2023-01-05T09:47:34.790248+00:00.
BKB-0002,IMPOSSIBLE_SPEED,HIGH,98,51001002,2023-01-05T10:07:34.790248+00:00,-10.58894,142.80861,IDN FISHER 02,Fishing,Implied speed 830 kn — possible spoofing,"Successive AIS positions imply a physically impossible speed, strongly suggesting AIS position spoofing, a false-identity broadcast, or a track-stitching error merging two different vessels.","Inspect raw source rows. Compare against alternative AIS feeds, RF/SAR/patrol data. Do not assume identity continuity across this jump.",Implied speed 829.7 kn between 2023-01-05T09:47:34.790248+00:00 and 2023-01-05T10:07:34.790248+00:00.
BKB-0006,AIS_GAP,HIGH,95,51001004,2023-01-03T10:42:23.938225+00:00,-10.51719,141.94707,IDN FISHER 04,Fishing,AIS gap of 10.0 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2023-01-03T00:42:23.938225+00:00 → current point 2023-01-03T10:42:23.938225+00:00 (10.0 h silence).
BKB-0001,AIS_GAP,HIGH,95,51001001,2023-01-08T04:06:32.765378+00:00,-10.16495,141.30576,IDN FISHER 01,Fishing,AIS gap of 8.2 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2023-01-07T19:51:32.765378+00:00 → current point 2023-01-08T04:06:32.765378+00:00 (8.2 h silence).
BKB-0026,AIS_GAP,HIGH,95,510099999,2023-01-09T01:53:59.927738+00:00,-10.90032,143.20009,DARK VESSEL,Fishing,AIS gap of 75.0 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2023-01-05T22:53:59.927738+00:00 → current point 2023-01-09T01:53:59.927738+00:00 (75.0 h silence).
BKB-0002,AIS_GAP,HIGH,95,51001001,2023-01-10T23:36:32.765378+00:00,-10.10729,141.27128,IDN FISHER 01,Fishing,AIS gap of 11.2 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2023-01-10T12:21:32.765378+00:00 → current point 2023-01-10T23:36:32.765378+00:00 (11.2 h silence).
BKB-0042,AIS_GAP,HIGH,95,510099999,2023-01-12T13:53:59.927738+00:00,-10.89968,143.19976,DARK VESSEL,Fishing,AIS gap of 39.0 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2023-01-10T22:53:59.927738+00:00 → current point 2023-01-12T13:53:59.927738+00:00 (39.0 h silence).
BKB-0005,AIS_GAP,HIGH,95,51001003,2023-01-14T11:08:16.180805+00:00,-9.96238,141.64144,IDN FISHER 03,Fishing,AIS gap of 17.2 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2023-01-13T17:53:16.180805+00:00 → current point 2023-01-14T11:08:16.180805+00:00 (17.2 h silence).
BKB-0070,AIS_GAP,HIGH,95,510099999,2023-01-17T01:53:59.927738+00:00,-10.90031,143.19925,DARK VESSEL,Fishing,AIS gap of 27.0 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2023-01-15T22:53:59.927738+00:00 → current point 2023-01-17T01:53:59.927738+00:00 (27.0 h silence).
BKB-0004,AIS_GAP,HIGH,95,51001002,2023-01-23T11:27:34.790248+00:00,-8.73662,144.23532,IDN FISHER 02,Fishing,AIS gap of 8.7 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2023-01-23T02:47:34.790248+00:00 → current point 2023-01-23T11:27:34.790248+00:00 (8.7 h silence).
BKB-0003,AIS_GAP,HIGH,88,51001002,2023-01-20T00:07:34.790248+00:00,-9.04061,143.74128,IDN FISHER 02,Fishing,AIS gap of 5.3 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2023-01-19T18:47:34.790248+00:00 → current point 2023-01-20T00:07:34.790248+00:00 (5.3 h silence).
BKB-0042,RENDEZVOUS_CANDIDATE,HIGH,85,553000101,2023-01-01T08:48:37.493394+00:00,-9.39833,142.36933,PNG VESSEL 01,Fishing,Possible rendezvous with AUS LICENSED 02,"Two vessels appeared within 0.81km of each other within the time window. Vessel-to-vessel transfers (catch, fuel, crew) are a known IUU evasion method.","Check vessel types, flag states, licensed activity, and AIS gap history for both parties.",553000101/50300702; separation 0.81km; time delta 22093min.
